,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_rade,pl_rads,pl_trandur,pl_tranmid,pl_ratror,pl_mnum,pl_st_npar,pl_st_nref,st_rah,st_glon,st_glat,st_elon,st_elat,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_logg,st_metfe,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_jmh2,st_hmk2,st_jmk2
2049,0,1,5.79180156,,0.15,0,1,0,292.204706,37.22122,1050.0,13.96,13.932,6319.0,1.25,1.4,1,0,0,0.0,0,0,,1.68,0.015,0.13637,2454966.3578,0.01051,0,22,9,19.48031373,70.173635,9.249989999999999,304.626515,58.02089399999999,1.03,971.7,3.5,4.4,5.6,-1.1,-0.6,1.3,4.24,0.06,12.888,12.604000000000001,12.59,12.51,12.569,12.147,9.026,0.284,0.013999999999999999,0.298
2050,0,3,1.7323419999999998,0.027999999999999997,0.11800000000000001,0,1,0,291.097225,38.875609000000004,749.0,14.002,14.037,5774.0,,1.04,1,0,0,0.0,0,0,0.0374,1.32,0.012,0.0911,2454967.5302,,0,36,12,19.40648165,71.275867,10.772926,303.918161,59.85501,1.26,791.27,10.0,4.0,10.8,4.4,2.2,4.9,4.39,,12.939,12.627,12.573,12.562999999999999,12.599,12.493,8.932,0.312,0.054000000000000006,0.366
2051,0,3,13.5405,0.11,0.2,0,1,0,291.097225,38.875609000000004,749.0,14.002,14.037,5774.0,,1.04,1,0,0,0.0,0,0,0.147,2.24,0.021,0.1881,2455004.6803200003,,0,40,13,19.40648165,71.275867,10.772926,303.918161,59.85501,1.26,791.27,10.0,4.0,10.8,4.4,2.2,4.9,4.39,,12.939,12.627,12.573,12.562999999999999,12.599,12.493,8.932,0.312,0.054000000000000006,0.366
2052,0,3,7.02573474,,0.13,0,1,0,291.097225,38.875609000000004,749.0,14.002,14.037,5774.0,,1.04,1,0,0,0.0,0,0,,1.46,0.013000000000000001,0.087975,2454966.62972,0.0129,0,30,12,19.40648165,71.275867,10.772926,303.918161,59.85501,1.26,791.27,10.0,4.0,10.8,4.4,2.2,4.9,4.39,,12.939,12.627,12.573,12.562999999999999,12.599,12.493,8.932,0.312,0.054000000000000006,0.366
2053,0,1,26.548955,,0.095,0,1,0,299.861833,45.827354,463.0,13.960999999999999,13.97,5550.0,0.92,0.89,1,0,0,0.0,0,0,,1.07,0.01,0.33246,2454970.2387099997,0.01094,0,28,11,19.99078887,80.589851,8.3784,322.199004,63.953306999999995,1.06,943.83,-9.8,12.2,15.6,-9.8,12.2,15.6,4.5,-0.04,12.489,12.046,11.997,11.975,12.038,12.681,9.495,0.44299999999999995,0.049,0.49200000000000005
2054,0,1,3.38555488,,0.136,0,1,0,300.935406,45.596546000000004,802.0,13.767000000000001,13.77,6297.0,1.23,1.39,1,0,0,0.0,0,0,,1.52,0.013999999999999999,0.07975,2454966.97796,0.00996,0,24,10,20.0623604,80.780277,7.617045,323.469234,63.407343999999995,1.45,688.64,-3.2,-12.3,12.8,-3.2,-12.3,12.8,4.24,0.04,12.477,12.151,12.044,11.967,12.017000000000001,11.932,8.948,0.326,0.107,0.433
2055,0,1,5.49548621,,0.084,0,1,0,281.897275,46.722633,600.0,13.95,13.718,5618.0,0.97,0.95,1,0,0,0.0,0,0,,0.94,0.009000000000000001,0.10463,2454966.63773,0.00875,0,20,10,18.79315167,76.089004,20.012378,293.447163,69.195499,1.03,973.17,2.1,12.6,12.8,2.1,12.6,12.8,4.47,0.08,12.685,12.356,12.365,12.296,12.325,11.931,9.152999999999999,0.32899999999999996,-0.009000000000000001,0.32
2056,0,1,2.6157554,,0.107,0,1,0,292.988348,49.484970000000004,1180.0,15.18,15.169,5808.0,1.01,1.0,1,0,0,0.0,0,0,,1.2,0.011000000000000001,0.10995999999999999,2454964.98236,0.01095,0,24,10,19.53255653,81.66086899999999,14.180448,315.849632,69.29209200000001,0.66,1518.6,-4.0,0.9,4.1,-4.0,0.9,4.1,4.44,0.02,14.020999999999999,13.68,13.677,13.602,13.6,12.767999999999999,9.772,0.341,0.003,0.344
2057,0,1,6.9424334000000005,,0.115,0,1,0,292.158664,49.63776,1275.0,15.158,15.094000000000001,5892.0,1.06,1.08,1,0,0,0.0,0,0,,1.29,0.012,0.1413,2454968.95984,0.0113,0,24,10,19.47724427,81.568465,14.732672,314.657559,69.664028,0.69,1441.27,2.5,3.9,4.6,2.5,3.9,4.6,4.4,0.08,13.972000000000001,13.672,13.679,13.584000000000001,13.636,12.7,9.66,0.3,-0.006999999999999999,0.293
2058,0,1,2.55314213,,0.11699999999999999,0,1,0,293.74325,45.761596999999995,1170.0,15.424000000000001,15.418,5667.0,0.95,0.92,1,0,0,0.0,0,0,,1.31,0.012,0.07742,2454965.45164,0.013430000000000001,0,24,10,19.58288333,78.45375200000001,12.090242,313.02960099999996,65.691561,0.77,1292.46,-7.9,-7.8,11.1,-7.9,-7.8,11.1,4.49,-0.07,14.267999999999999,13.870999999999999,13.828,13.8,13.809000000000001,12.55,9.545,0.397,0.043,0.44
