,features,score
304,"pl_radj,st_masserr2,st_pmerr",0.5
305,"gaia_plxlim,st_disterr2,st_plx",0.5
306,"gaia_pmdecerr,pl_orbperlim,pl_radjerr1,pl_radjerr2,pl_ratrorerr1,st_hlim,st_masserr1",0.5
307,"gaia_pmdeclim,pl_impparlim,pl_radjlim,st_klim",0.5
308,"gaia_pmerr,pl_bmassjlim,pl_cbflag,pl_orbpererr1,st_j,st_nrvc,st_pmra,st_wise3,st_wise3lim,st_wise4lim",0.5
309,"pl_angseperr2,pl_rvamp,pl_status",0.5
310,"pl_ratdorlim,st_logg,st_loggerr2",0.5
311,"pl_msinijlim,pl_rvamplim,pl_status,st_disterr2,st_logg,st_wise1",0.5
312,"pl_bmasse,st_metfeerr1,st_raderr1",0.5
313,"pl_bmasse,pl_instrument,st_lumerr2,st_optband,st_wise2lim",0.5
314,"gaia_plxlim,pl_cbflag,pl_radslim,st_pmra",0.5
315,"st_jerr,st_jmh2,st_k,st_pmdecerr",0.5
316,"gaia_plxlim,pl_bmassjlim,pl_ratrorlim",0.5
317,"gaia_dist,gaia_pmdecerr,pl_impparerr2,st_naxa",0.5
318,"st_lum,st_radverr1,st_vj,st_wise2err",0.5
319,"pl_kepflag,pl_rade,pl_radjerr2,st_disterr1,st_radlim,st_wise3lim",0.5
320,"pl_rvamperr1,st_masslim,st_radv",0.5
321,"pl_bmasse,pl_radjerr2,pl_radslim,st_hmk2lim,st_kerr",0.5
322,"pl_astflag,st_disterr1,st_jerr",0.5
323,"pl_radeerr1,st_nspec,st_pmdeclim",0.5
324,"pl_denslim,pl_kepflag,pl_occdeplim",0.5
325,"gaia_distlim,pl_eqterr1,pl_rads,st_pmra",0.5
326,"dec,st_glat,st_plxerr1,st_pmdecerr",0.5
327,"pl_angsep,pl_eqterr2,st_hmk2",0.5
328,"gaia_plxlim,pl_orbperlim,st_jlim,st_lumerr2,st_wise1",0.5
329,"pl_rvamperr1,st_dist,st_wise4",0.5
330,"gaia_pmraerr,pl_orbsmax,pl_orbsmaxlim,pl_ratdorerr2,pl_st_npar,pl_tranmiderr2,st_logglim,st_masserr1,st_pmraerr",0.5
331,"pl_facility,pl_tranflag,st_wise2",0.5
332,"pl_nnotes,pl_orbsmaxlim,st_naxa,st_pmdec",0.5
333,"gaia_pmra,pl_orbsmaxerr1,st_metfe",0.5
334,"st_hmk2err,st_nrvc,st_wise2",0.5
335,"pl_denslim,pl_eqtlim,pl_orbtperlim,st_nspec",0.5
336,"pl_orbincl,pl_ratrorerr1,pl_trandur,st_hmk2err,st_jmk2err,st_masserr1",0.5
337,"gaia_plxlim,pl_rvamplim,st_rad",0.5
338,"gaia_distlim,gaia_pm,pl_k2flag,st_denserr1,st_herr",0.5
339,"gaia_pmralim,pl_orbperlim,st_pmra",0.5
340,"pl_rvamperr1,ra,st_lumerr1",0.4714285714285714
341,"st_jmh2,st_tefferr2,st_vjlim",0.5
342,"pl_nnotes,pl_orblperlim,st_teff",0.5
343,"pl_eqterr2,pl_orbinclerr2,pl_radjerr2",0.5
344,"gaia_plx,st_jlim,st_wise2lim",0.5
345,"pl_massjlim,st_rad,st_wise1lim",0.5
346,"pl_orbpererr2,st_lum,st_radverr1",0.5
347,"gaia_dist,pl_letter,st_optband",0.5
348,"pl_cbflag,pl_insolerr1,st_jmk2lim,st_loggerr1,st_pmerr",0.5
349,"pl_bmasselim,pl_orbeccen,st_pm",0.5
350,"pl_impparerr2,pl_orbincl,pl_rads,pl_ttvflag,st_metratio,st_nspec,st_wise2err",0.5
351,"gaia_pmerr,pl_ratdor,st_metfelim,st_nimg",0.5
352,"st_metratio,st_pmdecerr,st_sp",0.5
353,"pl_radelim,pl_ttvflag,st_glon,st_wise1err",0.5
354,"pl_bmasseerr1,st_jmk2lim,st_mass",0.5
355,"gaia_plxlim,pl_ratror,st_klim",0.5
